Location,Traffic Volume,Passenger Count,Noise Level,Average Speed,PM2.5 Level,AQI,Day of the Week,Time of the Day
Pitampura,2564.7330928764654,53388.0,80.082,15.0,311.43,622.0,Tuesday,Morning
Saket,3367.0,20202.0,53.872,22.0,235.69,707.0,Monday,Morning
Saket,1070.0,3210.0,16.05,26.61385840973997,53.5,107.0,Wednesday,Afternoon
Lajpat Nagar,4886.0,58632.0,83.062,10.0,342.02,1026.0,Sunday,Evening
Rohini,2592.0,5184.0,42.05930812030075,26.61385840973997,165.9120510894065,362.0,Tuesday,Evening
Lajpat Nagar,3444.0,41328.0,42.05930812030075,21.0,241.08,482.0,Friday,Morning
Mayur Vihar,4504.0,54048.0,67.56,10.0,315.28,945.0,Sunday,Evening
Lajpat Nagar,2023.0,22253.0,32.368,28.0,80.92,161.0,Sunday,Afternoon
Pitampura,4155.0,41550.0,62.325,15.0,290.85,872.0,Wednesday,Morning
Dwarka,1011.0,13143.0,17.187,35.0,50.55,50.0,Wednesday,Midnight
Dwarka,2174.0,4348.0,34.784,28.0,130.44,391.0,Friday,Afternoon
Mayur Vihar,3837.0,7674.0,57.555,20.0,165.9120510894065,537.0,Tuesday,Night
Rohini,600.0,6600.0,9.0,37.0,24.0,24.0,Sunday,Midnight
Connaught Place,971.0,1942.0,15.536,39.0,48.55,48.0,Monday,Midnight
Dwarka,4683.0,37464.0,42.05930812030075,12.0,327.81,655.0,Tuesday,Night
Lajpat Nagar,3157.0,3157.0,56.826,23.0,220.99,441.0,Friday,Afternoon
Mayur Vihar,2477.0,7431.0,37.155,30.0,99.08,297.0,Tuesday,Evening
Vasant Kunj,1271.0,19065.0,21.607,35.0,76.26,228.0,Friday,Afternoon
Pitampura,531.0,2124.0,9.027,40.0,21.24,399.59022556390977,Thursday,Midnight
Saket,1116.0,16740.0,17.856,35.0,44.64,133.0,Monday,Afternoon
Karol Bagh,2012.0,14084.0,32.192,29.0,80.48,80.0,Monday,Evening
Chandni Chowk,1164.0,12804.0,20.952,34.0,46.56,139.0,Monday,Midnight
Saket,4890.0,39120.0,88.02,12.0,391.2,782.0,Friday,Afternoon
Vasant Kunj,3295.0,32950.0,59.31,24.0,230.65,461.0,Tuesday,Night
Connaught Place,1893.0,13251.0,42.05930812030075,32.0,75.72,151.0,Wednesday,Evening
Vasant Kunj,910.0,19953.552766085388,15.47,39.0,54.6,163.0,Saturday,Midnight
Mayur Vihar,3226.0,12904.0,51.616,24.0,193.56,580.0,Friday,Morning
Saket,1480.0,19240.0,25.16,35.0,74.0,148.0,Thursday,Afternoon
Chandni Chowk,993.0,993.0,16.881,40.0,59.58,59.0,Tuesday,Afternoon
Dwarka,4892.0,15360.0,78.272,11.0,391.36,782.0,Saturday,Night
Mayur Vihar,1458.0,20412.0,23.328,36.0,58.32,174.0,Wednesday,Afternoon
Connaught Place,1447.0,19953.552766085388,23.152,35.0,86.82,86.0,Tuesday,Afternoon
Mayur Vihar,3694.0,25858.0,42.05930812030075,20.0,221.64,443.0,Thursday,Night
Pitampura,2439.0,2439.0,36.585,30.0,97.56,292.0,Wednesday,Evening
Vasant Kunj,3958.0,31664.0,71.244,20.0,277.06,831.0,Sunday,Night
Mayur Vihar,3444.0,6888.0,51.66,23.0,165.9120510894065,482.0,Friday,Morning
Chandni Chowk,4215.0,21075.0,71.655,14.0,295.05,590.0,Tuesday,Afternoon
Saket,4778.0,14334.0,81.226,10.0,334.46,1003.0,Friday,Afternoon
Lajpat Nagar,4498.0,49478.0,67.47,15.0,359.84,719.0,Friday,Evening
Pitampura,3950.0,43450.0,63.2,20.0,276.5,553.0,Friday,Night
Lajpat Nagar,588.0,8232.0,9.408,38.0,35.28,35.0,Thursday,Afternoon
Vasant Kunj,2564.7330928764654,4855.0,14.565,26.61385840973997,48.55,97.0,Thursday,Afternoon
Mayur Vihar,2725.0,35425.0,43.6,28.0,165.9120510894065,490.0,Saturday,Morning
Connaught Place,3174.0,31740.0,57.132,23.0,190.44,571.0,Monday,Night
Chandni Chowk,2316.0,30108.0,37.056,28.0,115.8,347.0,Monday,Evening
Chandni Chowk,1367.0,13670.0,21.872,36.0,82.02,164.0,Saturday,Midnight
Dwarka,3909.0,15636.0,58.635,17.0,273.63,820.0,Friday,Night
Chandni Chowk,969.0,8721.0,17.442,39.0,48.45,145.0,Friday,Afternoon
Mayur Vihar,1084.0,9756.0,17.344,34.0,43.36,43.0,Wednesday,Midnight
Lajpat Nagar,583.0,4081.0,42.05930812030075,37.0,23.32,46.0,Tuesday,Afternoon
Lajpat Nagar,1010.0,12120.0,15.15,35.0,60.6,60.0,Friday,Midnight
Vasant Kunj,1626.0,22764.0,27.642,31.0,97.56,97.0,Friday,Morning
Mayur Vihar,2954.0,8862.0,47.264,28.0,206.78,413.0,Monday,Evening
Connaught Place,886.0,1772.0,14.176,40.0,44.3,132.0,Wednesday,Midnight
Pitampura,4281.0,19953.552766085388,77.058,16.0,342.48,1027.0,Friday,Night
Dwarka,1345.0,10760.0,20.175,34.0,53.8,161.0,Wednesday,Afternoon
Dwarka,3184.0,28656.0,42.05930812030075,24.0,191.04,382.0,Tuesday,Night
Karol Bagh,3208.0,35288.0,57.744,22.0,224.56,673.0,Friday,Evening
Chandni Chowk,3366.0,3366.0,57.222,22.0,235.62,706.0,Sunday,Night
Lajpat Nagar,3050.0,42700.0,45.75,21.0,183.0,366.0,Monday,Morning
Mayur Vihar,4354.0,8708.0,69.664,15.0,348.32,696.0,Wednesday,Night
Vasant Kunj,1625.0,19953.552766085388,26.0,31.0,97.5,97.0,Friday,Afternoon
Mayur Vihar,3326.0,16630.0,59.868,22.0,199.56,598.0,Thursday,Afternoon
Rohini,1400.0,18200.0,23.8,35.0,70.0,70.0,Tuesday,Afternoon
Chandni Chowk,3656.0,14624.0,65.808,19.0,219.36,658.0,Friday,Night
Lajpat Nagar,2621.0,19953.552766085388,44.557,26.0,183.47,366.0,Saturday,Morning
Lajpat Nagar,623.0,19953.552766085388,10.591,37.0,31.15,93.0,Wednesday,Midnight
Mayur Vihar,4410.0,13230.0,74.97,15.0,352.8,1058.0,Tuesday,Morning
Chandni Chowk,585.0,8775.0,10.53,39.0,35.1,35.0,Tuesday,Midnight
Lajpat Nagar,2199.0,8796.0,39.582,29.0,131.94,263.0,Sunday,Afternoon
Karol Bagh,4875.0,9750.0,73.125,13.0,341.25,1023.0,Saturday,Evening
Dwarka,1004.0,12048.0,18.072,36.0,50.2,399.59022556390977,Friday,Midnight
Rohini,738.0,10332.0,11.07,40.0,44.28,399.59022556390977,Friday,Midnight
Rohini,533.0,1066.0,9.061,40.0,31.98,31.0,Wednesday,Midnight
Vasant Kunj,1289.0,14179.0,23.202,34.0,64.45,193.0,Monday,Afternoon
Saket,2226.0,15360.0,35.616,29.0,111.3,222.0,Sunday,Morning
Connaught Place,2602.0,31224.0,44.234,28.0,156.12,468.0,Wednesday,Evening
Lajpat Nagar,3555.0,21330.0,56.88,17.0,213.3,639.0,Tuesday,Morning
Rohini,755.0,5285.0,11.325,40.0,30.2,30.0,Wednesday,Midnight
Mayur Vihar,3101.0,46515.0,46.515,23.0,217.07,651.0,Saturday,Evening
Saket,1408.0,18304.0,23.936,35.0,70.4,211.0,Friday,Midnight
Rohini,2399.0,31187.0,43.182,28.0,119.95,359.0,Sunday,Afternoon
Chandni Chowk,3873.0,42603.0,58.095,20.0,232.38,464.0,Friday,Morning
Pitampura,4689.0,19953.552766085388,70.335,11.0,375.12,1125.0,Saturday,Night
Vasant Kunj,2564.7330928764654,19953.552766085388,48.135,24.0,192.54,385.0,Friday,Night
Mayur Vihar,4116.0,8232.0,69.972,26.61385840973997,329.28,658.0,Friday,Evening
Pitampura,4787.0,9574.0,86.166,13.0,382.96,765.0,Saturday,Evening
Lajpat Nagar,3210.0,16050.0,57.78,21.0,224.7,674.0,Saturday,Night
Karol Bagh,3462.0,15360.0,58.854,23.0,207.72,623.0,Tuesday,Morning
Dwarka,4504.0,40536.0,76.568,11.0,315.28,630.0,Saturday,Night
Saket,3937.0,59055.0,59.055,17.0,236.22,708.0,Wednesday,Morning
Rohini,3578.0,10734.0,57.248,20.0,214.68,429.0,Monday,Night
Lajpat Nagar,2362.0,19953.552766085388,42.516,29.0,141.72,283.0,Sunday,Afternoon
Karol Bagh,3375.0,27000.0,42.05930812030075,23.0,202.5,607.0,Wednesday,Morning
Lajpat Nagar,2564.7330928764654,5910.0,18.912,36.0,70.92,70.0,Friday,Afternoon
Lajpat Nagar,2449.0,19592.0,36.735,28.0,146.94,146.0,Saturday,Afternoon
Pitampura,3355.0,6710.0,60.39,23.0,165.9120510894065,402.0,Thursday,Morning
Vasant Kunj,573.0,4011.0,9.168,40.0,34.38,399.59022556390977,Sunday,Midnight
Connaught Place,3120.0,34320.0,56.16,24.0,187.2,561.0,Friday,Evening
Lajpat Nagar,803.0,7227.0,14.454,40.0,48.18,48.0,Tuesday,Midnight
Karol Bagh,539.0,2695.0,8.085,39.0,32.34,64.0,Sunday,Midnight
Karol Bagh,4080.0,4080.0,73.44,16.0,285.6,571.0,Monday,Morning
Pitampura,1200.0,3600.0,19.2,36.0,72.0,72.0,Tuesday,Midnight
Vasant Kunj,3227.0,25816.0,58.086,23.0,225.89,451.0,Saturday,Evening
Lajpat Nagar,1615.0,8075.0,27.455,32.0,80.75,161.0,Saturday,Morning
Pitampura,2715.0,38010.0,43.44,28.0,162.9,488.0,Saturday,Afternoon
Karol Bagh,3340.0,23380.0,56.78,22.0,165.9120510894065,701.0,Saturday,Evening
Lajpat Nagar,4747.0,33229.0,85.446,13.0,332.29,664.0,Friday,Morning
Rohini,2261.0,29393.0,38.437,30.0,135.66,406.0,Monday,Afternoon
Chandni Chowk,2390.0,16730.0,42.05930812030075,28.0,119.5,119.0,Saturday,Morning
Chandni Chowk,3970.0,27790.0,63.52,18.0,238.2,476.0,Monday,Night
Vasant Kunj,1761.0,7044.0,26.415,32.0,88.05,264.0,Sunday,Afternoon
Lajpat Nagar,2941.0,5882.0,44.115,26.0,176.46,352.0,Tuesday,Evening
Karol Bagh,3988.0,31904.0,67.796,20.0,279.16,558.0,Tuesday,Night
Dwarka,3465.0,20790.0,58.905,23.0,207.9,415.0,Sunday,Evening
Karol Bagh,4677.0,4677.0,70.155,12.0,374.16,748.0,Thursday,Night
Karol Bagh,2457.0,24570.0,44.226,29.0,122.85,368.0,Saturday,Morning
Saket,1247.0,4988.0,19.952,36.0,49.88,99.0,Tuesday,Midnight
Saket,4541.0,15360.0,68.115,13.0,317.87,635.0,Saturday,Night
Pitampura,1431.0,15741.0,24.327,34.0,71.55,71.0,Sunday,Midnight
Connaught Place,3657.0,3657.0,65.826,19.0,219.42,438.0,Saturday,Night
Saket,1300.0,16900.0,19.5,34.0,52.0,52.0,Wednesday,Midnight
Dwarka,2564.7330928764654,19953.552766085388,42.05930812030075,29.0,89.0,267.0,Saturday,Morning
Karol Bagh,3980.0,15920.0,59.7,18.0,238.8,716.0,Monday,Morning
Lajpat Nagar,2041.0,6123.0,32.656,28.0,102.05,102.0,Thursday,Evening
Lajpat Nagar,1678.0,6712.0,30.204,32.0,67.12,134.0,Thursday,Evening
Chandni Chowk,1385.0,15235.0,20.775,35.0,83.1,249.0,Tuesday,Midnight
Chandni Chowk,1025.0,1025.0,15.375,36.0,61.5,184.0,Monday,Midnight
Chandni Chowk,745.0,8195.0,12.665,40.0,37.25,111.0,Friday,Afternoon
Pitampura,720.0,2880.0,10.8,37.0,36.0,36.0,Tuesday,Midnight
Vasant Kunj,2797.0,39158.0,50.346,27.0,195.79,391.0,Monday,Afternoon
Saket,3987.0,3987.0,71.766,19.0,239.22,717.0,Friday,Morning
Dwarka,913.0,11869.0,13.695,39.0,36.52,73.0,Friday,Midnight
Rohini,2564.7330928764654,24000.0,28.8,32.0,64.0,64.0,Thursday,Evening
Saket,3050.0,30500.0,51.85,22.0,183.0,366.0,Friday,Morning
Saket,1019.0,3057.0,18.342,35.0,50.95,152.0,Friday,Afternoon
Pitampura,2445.0,17115.0,41.565,30.0,97.8,195.0,Sunday,Morning
Connaught Place,718.0,9334.0,42.05930812030075,38.0,35.9,71.0,Monday,Afternoon
Connaught Place,4419.0,15360.0,79.542,15.0,309.33,927.0,Monday,Morning
Pitampura,3706.0,7412.0,42.05930812030075,17.0,259.42,518.0,Monday,Morning
Connaught Place,1021.0,8168.0,15.315,34.0,51.05,102.0,Tuesday,Afternoon
Rohini,501.0,2004.0,8.016,40.0,165.9120510894065,90.0,Friday,Midnight
Mayur Vihar,1491.0,22365.0,26.838,36.0,74.55,223.0,Saturday,Midnight
Vasant Kunj,3870.0,19953.552766085388,58.05,20.0,270.9,812.0,Tuesday,Night
Vasant Kunj,4919.0,14757.0,73.785,11.0,393.52,787.0,Friday,Night
Karol Bagh,2514.0,25140.0,40.224,27.0,150.84,452.0,Saturday,Morning
Karol Bagh,4196.0,20980.0,67.136,26.61385840973997,293.72,881.0,Friday,Morning
Pitampura,3966.0,31728.0,67.422,18.0,277.62,555.0,Thursday,Morning
Dwarka,1425.0,12825.0,22.8,35.0,57.0,114.0,Monday,Afternoon
Lajpat Nagar,1017.0,12204.0,18.306,34.0,154.44,81.0,Friday,Midnight
Karol Bagh,4488.0,26928.0,71.808,14.0,359.04,718.0,Thursday,Night
Pitampura,4669.0,9338.0,79.373,12.0,165.9120510894065,1120.0,Saturday,Night
Karol Bagh,2564.7330928764654,6768.0,20.304,28.0,45.12,135.0,Monday,Midnight
Vasant Kunj,1415.0,7075.0,22.64,36.0,56.6,169.0,Thursday,Afternoon
Dwarka,1394.0,13940.0,20.91,36.0,69.7,209.0,Tuesday,Afternoon
Lajpat Nagar,1031.0,10310.0,17.527,34.0,41.24,41.0,Monday,Midnight
Karol Bagh,1333.0,5332.0,19.995,36.0,79.98,159.0,Monday,Afternoon
Mayur Vihar,3793.0,53102.0,56.895,17.0,227.58,455.0,Wednesday,Morning
Rohini,676.0,676.0,12.168,40.0,33.8,399.59022556390977,Monday,Midnight
Dwarka,774.0,11610.0,12.384,39.0,30.96,92.0,Tuesday,Afternoon
Mayur Vihar,734.0,8808.0,12.478,39.0,29.36,29.0,Thursday,Afternoon
Mayur Vihar,4876.0,39008.0,87.768,11.0,341.32,1023.0,Saturday,Night
Karol Bagh,1100.0,4400.0,19.8,36.0,66.0,399.59022556390977,Monday,Midnight
Connaught Place,4088.0,19953.552766085388,69.496,15.0,286.16,572.0,Friday,Evening
Connaught Place,1321.0,1321.0,23.778,35.0,52.84,399.59022556390977,Thursday,Afternoon
Chandni Chowk,2557.0,29490.0,33.422,33.0,98.3,196.0,Monday,Evening
Dwarka,4836.0,53196.0,72.54,11.0,338.52,1015.0,Sunday,Night
Saket,2163.0,21630.0,34.608,28.0,86.52,259.0,Saturday,Afternoon
Mayur Vihar,3563.0,46319.0,57.008,18.0,213.78,641.0,Sunday,Evening
Chandni Chowk,1907.0,24791.0,34.326,26.61385840973997,76.28,228.0,Friday,Evening
Lajpat Nagar,825.0,11550.0,14.85,40.0,41.25,351.0,Friday,Midnight
Karol Bagh,3439.0,48146.0,58.463,23.0,240.73,722.0,Sunday,Evening
Chandni Chowk,2976.0,20832.0,47.616,26.61385840973997,208.32,624.0,Saturday,Afternoon
Pitampura,2536.0,5072.0,38.04,26.0,152.16,456.0,Sunday,Morning
Connaught Place,2870.0,40180.0,42.05930812030075,28.0,172.2,344.0,Saturday,Afternoon
Pitampura,4560.0,54720.0,77.52,13.0,364.8,1094.0,Friday,Evening
Rohini,2564.7330928764654,33024.0,46.784,25.0,165.12,399.59022556390977,Saturday,Afternoon
Karol Bagh,1863.0,27945.0,31.671,33.0,165.9120510894065,335.0,Thursday,Evening
Connaught Place,4659.0,19953.552766085388,69.885,10.0,372.72,1118.0,Thursday,Afternoon
Karol Bagh,778.0,9336.0,12.448,38.0,46.68,93.0,Friday,Afternoon
Rohini,1572.0,7860.0,26.724,32.0,78.6,157.0,Sunday,Morning
Pitampura,3388.0,6776.0,57.596,22.0,237.16,474.0,Tuesday,Morning
Chandni Chowk,3979.0,55706.0,63.664,17.0,238.74,477.0,Thursday,Morning
Saket,1617.0,12936.0,24.255,33.0,97.02,194.0,Tuesday,Evening
Dwarka,2564.7330928764654,12468.0,56.106,21.0,218.19,654.0,Friday,Morning
Rohini,996.0,12948.0,14.94,39.0,49.8,149.0,Thursday,Afternoon
Saket,1472.0,19136.0,26.496,36.0,88.32,176.0,Monday,Midnight
Karol Bagh,2564.7330928764654,6696.0,15.066,37.0,33.48,100.0,Monday,Midnight
Connaught Place,3330.0,33300.0,56.61,24.0,233.1,466.0,Monday,Afternoon
Lajpat Nagar,1551.0,19953.552766085388,26.367,33.0,62.04,124.0,Saturday,Morning
Pitampura,1610.0,4830.0,25.76,31.0,96.6,289.0,Tuesday,Evening
Dwarka,549.0,1647.0,8.235,40.0,27.45,27.0,Thursday,Afternoon
Mayur Vihar,2758.0,22064.0,42.05930812030075,27.0,165.48,399.59022556390977,Saturday,Morning
Pitampura,752.0,1504.0,12.784,40.0,45.12,351.0,Friday,Midnight
Vasant Kunj,1223.0,17122.0,18.345,34.0,61.15,61.0,Tuesday,Afternoon
Vasant Kunj,526.0,526.0,8.942,39.0,26.3,78.0,Sunday,Midnight
Lajpat Nagar,4014.0,52182.0,64.224,15.0,321.12,642.0,Monday,Morning
Rohini,676.0,6760.0,12.168,37.0,27.04,27.0,Sunday,Afternoon
Saket,2854.0,19953.552766085388,45.664,28.0,171.24,513.0,Thursday,Evening
Connaught Place,4128.0,16512.0,70.176,15.0,330.24,990.0,Friday,Morning
Saket,2122.0,2122.0,31.83,29.0,127.32,381.0,Wednesday,Afternoon
Dwarka,2687.0,16122.0,40.305,25.0,161.22,322.0,Monday,Evening
Lajpat Nagar,2171.0,10855.0,34.736,30.0,130.26,390.0,Saturday,Afternoon
Lajpat Nagar,1091.0,15274.0,17.456,35.0,65.46,65.0,Wednesday,Midnight
Chandni Chowk,1207.0,7242.0,18.105,36.0,72.42,144.0,Monday,Afternoon
Chandni Chowk,1115.0,11150.0,42.05930812030075,35.0,66.9,200.0,Friday,Midnight
Connaught Place,2891.0,37583.0,52.038,28.0,202.37,607.0,Wednesday,Evening
Rohini,2564.7330928764654,21280.0,25.84,31.0,91.2,399.59022556390977,Monday,Evening
Rohini,1926.0,19260.0,28.89,33.0,96.3,96.0,Sunday,Afternoon
Karol Bagh,1480.0,4440.0,23.68,34.0,74.0,222.0,Saturday,Midnight
Chandni Chowk,867.0,7803.0,13.872,40.0,43.35,86.0,Saturday,Midnight
Vasant Kunj,734.0,5872.0,13.212,40.0,44.04,88.0,Friday,Afternoon
Saket,1776.0,14208.0,28.416,33.0,106.56,106.0,Sunday,Morning
Karol Bagh,3512.0,14048.0,63.216,19.0,210.72,632.0,Tuesday,Morning
Karol Bagh,554.0,554.0,9.972,37.0,27.7,55.0,Thursday,Midnight
Connaught Place,3975.0,51675.0,67.575,18.0,238.5,477.0,Thursday,Night
Vasant Kunj,1798.0,26970.0,42.05930812030075,32.0,107.88,215.0,Sunday,Morning
Rohini,3509.0,52635.0,52.635,19.0,245.63,736.0,Friday,Evening
Connaught Place,556.0,6116.0,10.008,40.0,27.8,83.0,Friday,Afternoon
Mayur Vihar,2456.0,4912.0,41.752,30.0,147.36,442.0,Sunday,Afternoon
Mayur Vihar,3025.0,15125.0,54.45,22.0,181.5,363.0,Monday,Morning
Saket,4531.0,63434.0,72.496,11.0,317.17,951.0,Friday,Evening
Rohini,3015.0,3015.0,51.255,23.0,180.9,361.0,Thursday,Night
Vasant Kunj,714.0,9282.0,11.424,39.0,28.56,28.0,Monday,Afternoon
Mayur Vihar,1025.0,14350.0,17.425,34.0,51.25,153.0,Monday,Afternoon
Mayur Vihar,4693.0,9386.0,84.474,12.0,328.51,985.0,Sunday,Night
Rohini,1872.0,28080.0,28.08,31.0,112.32,112.0,Saturday,Morning
Dwarka,2965.0,8895.0,50.405,28.0,177.9,533.0,Friday,Evening
Dwarka,4894.0,29364.0,73.41,12.0,391.52,783.0,Sunday,Night
Rohini,4449.0,44490.0,80.082,15.0,311.43,934.0,Friday,Night
Mayur Vihar,3954.0,19770.0,42.05930812030075,17.0,165.9120510894065,711.0,Monday,Morning
Dwarka,3398.0,19953.552766085388,61.164,26.61385840973997,203.88,611.0,Saturday,Evening
Pitampura,3094.0,46410.0,52.598,22.0,185.64,556.0,Sunday,Night
Pitampura,4231.0,42310.0,42.05930812030075,14.0,338.48,676.0,Saturday,Evening
Connaught Place,3206.0,35266.0,57.708,21.0,224.42,673.0,Friday,Night
Saket,1088.0,2176.0,17.408,35.0,54.4,163.0,Saturday,Midnight
Saket,1414.0,9898.0,22.624,35.0,165.9120510894065,56.0,Monday,Midnight
Saket,4789.0,14367.0,86.202,13.0,383.12,766.0,Sunday,Night
Pitampura,1415.0,16980.0,22.64,35.0,56.6,169.0,Wednesday,Afternoon
Pitampura,1361.0,2722.0,23.137,35.0,81.66,81.0,Tuesday,Midnight
Dwarka,3786.0,7572.0,64.362,17.0,165.9120510894065,681.0,Saturday,Evening
Pitampura,1626.0,13008.0,24.39,33.0,97.56,195.0,Monday,Evening
Saket,537.0,537.0,9.129,40.0,32.22,96.0,Saturday,Afternoon
Vasant Kunj,2098.0,23078.0,33.568,29.0,83.92,251.0,Sunday,Morning
Vasant Kunj,4032.0,52416.0,60.48,15.0,165.9120510894065,846.0,Sunday,Evening
Saket,3046.0,39598.0,54.828,24.0,182.76,548.0,Wednesday,Morning
Rohini,1357.0,19953.552766085388,24.426,35.0,67.85,203.0,Friday,Afternoon
Chandni Chowk,2564.7330928764654,7824.0,44.336,26.0,156.48,469.0,Thursday,Evening
Karol Bagh,4819.0,53009.0,72.285,13.0,337.33,1011.0,Thursday,Night
Lajpat Nagar,1194.0,10746.0,17.91,36.0,71.64,143.0,Friday,Afternoon
Chandni Chowk,4738.0,19953.552766085388,71.07,12.0,379.04,758.0,Sunday,Evening
Saket,4647.0,13941.0,69.705,11.0,371.76,743.0,Friday,Night
Chandni Chowk,787.0,6296.0,14.166,38.0,31.48,94.0,Monday,Afternoon
Dwarka,3807.0,34263.0,64.719,17.0,228.42,456.0,Sunday,Night
Rohini,702.0,4914.0,11.232,38.0,35.1,70.0,Wednesday,Midnight
Connaught Place,3098.0,46470.0,46.47,24.0,216.86,650.0,Tuesday,Morning
Karol Bagh,2176.0,10880.0,39.168,30.0,130.56,261.0,Monday,Evening
Pitampura,4666.0,13998.0,83.988,10.0,373.28,1119.0,Sunday,Evening
Mayur Vihar,789.0,3156.0,12.624,37.0,31.56,399.59022556390977,Wednesday,Midnight
Rohini,2913.0,43695.0,41.804,27.0,174.78,524.0,Sunday,Afternoon
Pitampura,790.0,6320.0,12.64,26.61385840973997,47.4,94.0,Wednesday,Afternoon
Karol Bagh,1844.0,9220.0,33.192,32.0,165.9120510894065,221.0,Thursday,Evening
Rohini,4912.0,15360.0,73.68,12.0,343.84,687.0,Thursday,Morning
Pitampura,2564.7330928764654,8698.0,78.282,14.0,347.92,695.0,Friday,Night
Vasant Kunj,4957.0,19953.552766085388,74.355,12.0,396.56,1189.0,Tuesday,Morning
Mayur Vihar,4514.0,4514.0,72.224,12.0,154.44,631.0,Friday,Evening
Connaught Place,2555.0,38325.0,38.325,27.0,153.3,306.0,Sunday,Afternoon
Pitampura,3029.0,30290.0,48.464,22.0,181.74,363.0,Sunday,Night
Lajpat Nagar,1342.0,12078.0,20.13,26.61385840973997,80.52,80.0,Friday,Midnight
Pitampura,1172.0,17580.0,21.096,36.0,58.6,117.0,Saturday,Midnight
Mayur Vihar,4273.0,19953.552766085388,76.914,16.0,299.11,897.0,Sunday,Evening
Connaught Place,2564.7330928764654,5418.0,43.344,27.0,162.54,325.0,Saturday,Afternoon
Dwarka,3505.0,45565.0,52.575,18.0,245.35,490.0,Sunday,Evening
Chandni Chowk,581.0,3486.0,10.458,39.0,23.24,69.0,Tuesday,Midnight
Lajpat Nagar,3094.0,30940.0,46.41,22.0,185.64,556.0,Wednesday,Night
Saket,4130.0,4130.0,66.08,14.0,289.1,867.0,Sunday,Night
Rohini,2017.0,20170.0,42.05930812030075,29.0,80.68,80.0,Tuesday,Evening
Karol Bagh,1245.0,3735.0,21.165,36.0,74.7,149.0,Saturday,Midnight
Lajpat Nagar,2725.0,27250.0,40.875,28.0,163.5,327.0,Tuesday,Evening
Pitampura,589.0,7657.0,42.05930812030075,37.0,29.45,88.0,Tuesday,Midnight
Pitampura,3296.0,16480.0,52.736,21.0,230.72,461.0,Saturday,Night
Lajpat Nagar,912.0,1824.0,15.504,38.0,36.48,36.0,Friday,Midnight
Rohini,2021.0,28294.0,30.315,30.0,101.05,202.0,Thursday,Evening
Karol Bagh,2564.7330928764654,29034.0,58.068,22.0,193.56,580.0,Wednesday,Night
Karol Bagh,4853.0,9706.0,87.354,10.0,388.24,1164.0,Friday,Morning
Dwarka,3195.0,9585.0,57.51,22.0,223.65,447.0,Thursday,Night
Rohini,2207.0,4414.0,35.312,29.0,110.35,331.0,Sunday,Afternoon
Lajpat Nagar,2530.0,19953.552766085388,37.95,27.0,151.8,303.0,Saturday,Afternoon
Lajpat Nagar,3336.0,30024.0,56.712,23.0,233.52,399.59022556390977,Sunday,Evening
Saket,1738.0,19118.0,27.808,33.0,69.52,139.0,Tuesday,Evening
Karol Bagh,3175.0,19050.0,53.975,23.0,222.25,666.0,Friday,Evening
Chandni Chowk,941.0,6587.0,16.938,39.0,56.46,169.0,Monday,Afternoon
Chandni Chowk,1820.0,20020.0,29.12,31.0,91.0,182.0,Tuesday,Evening
Chandni Chowk,667.0,19953.552766085388,10.005,40.0,33.35,100.0,Thursday,Midnight
Pitampura,570.0,570.0,9.12,39.0,22.8,22.0,Friday,Midnight
Chandni Chowk,1155.0,1155.0,18.48,36.0,46.2,138.0,Tuesday,Afternoon
Vasant Kunj,3445.0,34450.0,62.01,24.0,206.7,620.0,Monday,Night
Chandni Chowk,891.0,7128.0,16.038,26.61385840973997,44.55,44.0,Wednesday,Midnight
Saket,855.0,9405.0,42.05930812030075,37.0,34.2,68.0,Friday,Midnight
Vasant Kunj,1497.0,5988.0,23.952,36.0,89.82,179.0,Saturday,Midnight
Pitampura,2916.0,14580.0,46.656,27.0,174.96,524.0,Sunday,Afternoon
Connaught Place,916.0,9160.0,15.572,38.0,54.96,164.0,Wednesday,Afternoon
Rohini,3895.0,19475.0,62.32,19.0,233.7,701.0,Monday,Night
Dwarka,2607.0,18249.0,44.319,27.0,182.49,364.0,Wednesday,Evening
Connaught Place,2700.0,10800.0,43.2,25.0,189.0,567.0,Sunday,Afternoon
Mayur Vihar,2380.0,14280.0,42.84,28.0,142.8,142.0,Friday,Afternoon
Rohini,1044.0,6264.0,17.748,36.0,52.2,52.0,Friday,Midnight
Saket,2564.7330928764654,7770.0,23.31,36.0,64.75,129.0,Wednesday,Midnight
Dwarka,4873.0,4873.0,73.095,10.0,389.84,779.0,Sunday,Evening
Connaught Place,3628.0,18140.0,61.676,18.0,253.96,507.0,Monday,Morning
Mayur Vihar,2927.0,2927.0,49.759,27.0,175.62,351.0,Tuesday,Evening
Lajpat Nagar,3458.0,31122.0,58.786,23.0,207.48,622.0,Wednesday,Morning
Connaught Place,889.0,8890.0,13.335,26.61385840973997,44.45,44.0,Tuesday,Afternoon
Rohini,3108.0,24864.0,55.944,21.0,217.56,652.0,Wednesday,Morning
Pitampura,3578.0,17890.0,60.826,19.0,250.46,751.0,Saturday,Afternoon
Saket,1615.0,4845.0,24.225,32.0,64.6,129.0,Monday,Evening
Pitampura,4718.0,61334.0,80.206,26.61385840973997,330.26,990.0,Tuesday,Night
Mayur Vihar,1100.0,12100.0,17.6,35.0,66.0,132.0,Wednesday,Afternoon
